,LM Stat,p-value,ARCH Effect Present
ACB,147.45518914139964,1.2436555323897327e-26,True
BID,99.08351552683095,8.312361749527984e-17,True
CTG,128.98947953993908,7.508003250896576e-23,True
EIB,247.43763494789184,1.8762307758503615e-47,True
HDB,84.77485283019972,5.781552218166241e-14,True
LPB,107.89591517422888,1.4163748293890057e-18,True
MBB,146.13055337079686,2.3274711112463566e-26,True
STB,178.44866545863022,4.917822930768816e-33,True
TCB,114.73334898235775,5.904734672975776e-20,True
TPB,103.68432453557772,9.951814469636129e-18,True
VCB,146.79885059861522,1.6966050512535767e-26,True
VIB,92.25429346941696,1.9112329361656197e-15,True
VPB,128.669651520797,8.724299280508466e-23,True
