,Mean,Std,Skewness,Kurtosis
ACB,0.000911,0.018842,-0.267905,4.150662
BID,0.000271,0.021543,-0.326472,2.163287
CTG,0.000776,0.022205,-0.278841,1.996589
EIB,0.000412,0.023692,0.056647,1.908521
HDB,0.001033,0.02058,-0.171346,1.95676
LPB,0.00206,0.027003,-0.098185,3.550418
MBB,0.000783,0.02037,-0.472694,2.653481
STB,0.001029,0.025408,-0.151514,1.120101
TCB,0.000608,0.021686,-0.376024,2.424618
TPB,0.000701,0.021844,-0.189684,1.843559
VCB,0.000348,0.016411,-0.165216,3.094366
VIB,0.001155,0.021932,-0.288075,3.617551
VPB,0.00082,0.021942,-0.335998,2.24499
VNINDEX,0.000221,0.012856,-1.043883,4.229001
