ticker,ACB,BID,CTG,EIB,HDB,LPB,MBB,STB,TCB,TPB,VCB,VIB,VPB
ACB,1.0,0.6248608509947604,0.6631215146255263,0.2418317541740842,0.5746817967209524,0.5808130482245928,0.7390211500977897,0.6237893458392253,0.6827517882070152,0.5646520798271438,0.48072278451281164,0.6049862633336732,0.609921422122388
BID,0.6248608509947604,1.0,0.7148503057542192,0.23661942248985615,0.5418546505291777,0.5115077424358925,0.6866043079953283,0.6095236370216213,0.6243425606777848,0.5138059017092425,0.5074327035096317,0.5131557541679772,0.5702125071843525
CTG,0.6631215146255263,0.7148503057542192,1.0,0.3060261700333592,0.5952879967294767,0.5754374639088576,0.7507739712306007,0.6464593843514811,0.6675534451240112,0.5734988097133634,0.5131596524060152,0.5669550366622779,0.615154921663696
EIB,0.2418317541740842,0.23661942248985615,0.3060261700333592,1.0,0.28092413840625174,0.28007747302015695,0.2791745594297986,0.3195338167899968,0.2811364750993903,0.28691023578524977,0.18872579993194236,0.27801475288677574,0.28856343860006944
HDB,0.5746817967209524,0.5418546505291777,0.5952879967294767,0.28092413840625174,1.0,0.5207732359901,0.6614338568789908,0.5890455475775529,0.6490421307451119,0.5612423514381651,0.4434652847241359,0.53905199363787,0.5395899954919537
LPB,0.5808130482245928,0.5115077424358925,0.5754374639088576,0.28007747302015695,0.5207732359901,1.0,0.6447276265266716,0.5979927467180077,0.5899251036688872,0.4833303859828362,0.3767048069325983,0.5898634148699514,0.5252795543690691
MBB,0.7390211500977897,0.6866043079953283,0.7507739712306007,0.2791745594297986,0.6614338568789908,0.6447276265266716,1.0,0.7197536344870042,0.7901827964239916,0.6475432890249078,0.5160284214150852,0.6693774228008501,0.680612148379167
STB,0.6237893458392253,0.6095236370216213,0.6464593843514811,0.3195338167899968,0.5890455475775529,0.5979927467180077,0.7197536344870042,1.0,0.6765810134245965,0.5720693154060671,0.3874180382898726,0.5900378233830641,0.5950893003926463
TCB,0.6827517882070152,0.6243425606777848,0.6675534451240112,0.2811364750993903,0.6490421307451119,0.5899251036688872,0.7901827964239916,0.6765810134245965,1.0,0.606730126077305,0.466694295339598,0.6262512545689364,0.6694338489396501
TPB,0.5646520798271438,0.5138059017092425,0.5734988097133634,0.28691023578524977,0.5612423514381651,0.4833303859828362,0.6475432890249078,0.5720693154060671,0.606730126077305,1.0,0.3522946567588664,0.5412061718730027,0.5695012951625361
VCB,0.48072278451281164,0.5074327035096317,0.5131596524060152,0.18872579993194236,0.4434652847241359,0.3767048069325983,0.5160284214150852,0.3874180382898726,0.466694295339598,0.3522946567588664,1.0,0.41199615711717075,0.4221594214092279
VIB,0.6049862633336732,0.5131557541679772,0.5669550366622779,0.27801475288677574,0.53905199363787,0.5898634148699514,0.6693774228008501,0.5900378233830641,0.6262512545689364,0.5412061718730027,0.41199615711717075,1.0,0.5817676780933296
VPB,0.609921422122388,0.5702125071843525,0.615154921663696,0.28856343860006944,0.5395899954919537,0.5252795543690691,0.680612148379167,0.5950893003926463,0.6694338489396501,0.5695012951625361,0.4221594214092279,0.5817676780933296,1.0
