ticker,count,mean,std,min,25%,50%,75%,max
ACB,1249.0,0.0011205905294384086,0.018822468485746393,-0.09870550161812286,-0.007751937984496138,0.0,0.009320905459387463,0.09682299546142215
BID,1249.0,0.0005026408673945495,0.021487232671380047,-0.06989247311827962,-0.009073412152873161,0.0,0.011435832274459878,0.0702479338842974
CTG,1249.0,0.001022181255389386,0.02216799604485983,-0.07262888066078033,-0.009781357882623576,0.0,0.012484394506866447,0.070167064439141
EIB,1249.0,0.0006956183811168977,0.02371636593665772,-0.07008830022075052,-0.010332950631458226,0.0,0.011408512505485024,0.07002801120448177
HDB,1249.0,0.001233303716904539,0.02056399568988469,-0.07031249999999989,-0.008494208494208455,0.0,0.011103400416377474,0.06959247648902811
LPB,1249.0,0.002349051188175676,0.026965951376583232,-0.1523545706371191,-0.010922330097087318,0.0,0.013205282112844996,0.14671814671814687
MBB,1249.0,0.0009901619371316867,0.02030055975914312,-0.0708333333333333,-0.00794551645856989,0.0,0.01089324618736387,0.06936936936936933
STB,1249.0,0.0013525316790478606,0.025402983253414193,-0.06997084548104948,-0.012259194395796924,0.0016025641025640969,0.014084507042253502,0.07000000000000006
TCB,1249.0,0.0008423739724832569,0.021625521243768184,-0.07024029574861368,-0.008946322067594381,0.0,0.011281588447653368,0.06998158379373853
TPB,1249.0,0.0009574752261669492,0.02181965800331967,-0.07019230769230778,-0.00904295403165023,0.0,0.011182108626198062,0.07042253521126773
VCB,1249.0,0.00048260257237855015,0.016402030394960302,-0.0700301204819277,-0.007488846398980176,0.0,0.008006814310051125,0.06909090909090931
VIB,1249.0,0.0013591828745837767,0.02197979771254381,-0.11502347417840375,-0.008797653958944385,0.0,0.011111111111111072,0.10829817158931077
VPB,1249.0,0.0010606926827905073,0.02189367647921036,-0.07058823529411762,-0.009519492293744158,0.0,0.01087866108786617,0.06978723404255316
